iter	Passed	Remaining
0	2	741
1	11	1376
2	18	1534
3	26	1609
4	29	1451
5	36	1477
6	45	1590
7	52	1596
8	62	1684
9	70	1697
10	81	1763
11	89	1766
12	99	1817
13	107	1819
14	115	1805
15	122	1798
16	131	1802
17	150	1933
18	158	1925
19	164	1896
20	172	1880
21	181	1881
22	201	1988
23	205	1935
24	219	1974
25	233	2014
26	235	1945
27	248	1972
28	259	1980
29	274	2013
30	289	2044
31	302	2061
32	313	2060
33	323	2055
34	342	2101
35	351	2090
36	362	2088
37	370	2069
38	383	2075
39	394	2073
40	403	2057
41	411	2038
42	450	2168
43	459	2149
44	466	2124
45	475	2106
46	482	2082
47	505	2128
48	512	2102
49	521	2087
50	529	2064
51	537	2047
52	544	2022
53	552	2005
54	560	1985
55	569	1972
56	576	1953
57	583	1931
58	592	1916
59	602	1907
60	609	1888
61	617	1873
62	624	1853
63	632	1837
64	639	1819
65	649	1809
66	656	1794
67	664	1778
68	672	1764
69	680	1749
70	686	1731
71	694	1716
72	701	1700
73	709	1686
74	718	1676
75	726	1663
76	734	1650
77	742	1636
78	750	1624
79	757	1610
80	766	1599
81	774	1585
82	782	1573
83	788	1559
84	798	1550
85	805	1536
86	824	1545
87	832	1532
88	843	1525
89	853	1518
90	863	1509
91	871	1496
92	879	1485
93	886	1471
94	893	1458
95	901	1445
96	907	1431
97	917	1422
98	925	1412
99	933	1399
100	940	1387
101	948	1375
102	955	1363
103	962	1351
104	977	1349
105	984	1336
106	992	1326
107	999	1313
108	1007	1303
109	1014	1291
110	1022	1280
111	1030	1269
112	1040	1261
113	1063	1268
114	1076	1263
115	1089	1258
116	1098	1249
117	1114	1247
118	1132	1246
119	1145	1241
120	1155	1231
121	1163	1221
122	1182	1221
123	1190	1209
124	1201	1201
125	1209	1190
126	1220	1182
127	1228	1170
128	1236	1159
129	1244	1148
130	1253	1138
131	1262	1128
132	1269	1116
133	1276	1104
134	1283	1093
135	1291	1082
136	1299	1072
137	1307	1061
138	1314	1049
139	1322	1039
140	1331	1029
141	1338	1017
142	1345	1006
143	1353	996
144	1360	985
145	1370	975
146	1378	965
147	1385	955
148	1394	944
149	1401	934
150	1408	923
151	1415	912
152	1422	901
153	1430	891
154	1437	881
155	1446	871
156	1453	861
157	1462	851
158	1469	840
159	1477	830
160	1485	821
161	1493	811
162	1500	800
163	1508	790
164	1515	780
165	1523	770
166	1531	761
167	1538	750
168	1547	741
169	1554	731
170	1561	721
171	1568	711
172	1576	701
173	1582	691
174	1590	681
175	1597	671
176	1605	662
177	1614	653
178	1622	643
179	1630	633
180	1637	624
181	1644	614
182	1651	604
183	1659	595
184	1667	585
185	1675	576
186	1682	566
187	1689	557
188	1697	547
189	1705	538
190	1712	528
191	1719	519
192	1726	510
193	1733	500
194	1743	491
195	1749	482
196	1759	473
197	1768	464
198	1778	455
199	1784	446
200	1792	436
201	1798	427
202	1807	418
203	1814	409
204	1823	400
205	1830	390
206	1839	382
207	1845	372
208	1852	363
209	1860	354
210	1867	345
211	1874	336
212	1882	327
213	1890	317
214	1898	309
215	1907	300
216	1915	291
217	1923	282
218	1931	273
219	1939	264
220	1947	255
221	1955	246
222	1962	237
223	1970	228
224	1977	219
225	1985	210
226	1992	201
227	2000	193
228	2008	184
229	2015	175
230	2025	166
231	2035	157
232	2043	149
233	2051	140
234	2058	131
235	2065	122
236	2073	113
237	2083	105
238	2090	96
239	2098	87
240	2105	78
241	2113	69
242	2120	61
243	2128	52
244	2135	43
245	2142	34
246	2150	26
247	2157	17
248	2165	8
249	2172	0
